,genres
93887,"Indie, racing"
93888,"Action, adventure, indie"
93889,"Action, simulation, sports"
93890,"Adventure, indie"
93891,"Action, indie"
93892,"Casual, indie"
93894,"Adventure, casual, indie, rpg, simulation"
93895,"Action, adventure, indie"
93896,Casual
93897,"Action, adventure"
93898,Casual
93899,Action
93900,"Action, casual, indie"
93903,"Adventure, indie"
93904,"Action, indie, simulation"
93906,"Action, adventure"
93907,"Casual, indie"
93908,"Action, adventure, indie"
93910,"Adventure, indie"
93911,"Action, adventure, indie, strategy"
93914,Strategy
93917,"Indie, rpg, strategy"
93921,"Action, casual, indie, simulation"
93922,"Casual, indie, rpg, strategy"
93924,"Casual, indie, simulation"
93926,Casual
93927,"Action, indie, strategy"
93928,"Indie, simulation"
93929,"Adventure, indie, strategy"
93930,"Adventure, indie, strategy"
93931,Adventure
93932,Action
93933,Action
93934,Action
93935,"Action, casual, indie, strategy"
93937,"Adventure, indie, rpg"
93938,"Free to play, rpg"
93939,"Casual, indie"
93940,"Action, casual, indie"
93941,"Action, indie"
93942,"Adventure, casual, indie"
93945,"Adventure, indie"
93947,"Free to play, indie, strategy"
93952,Strategy
93954,"Adventure, indie, rpg"
93955,"Adventure, indie"
93956,"Adventure, indie"
93957,"Action, adventure, indie, racing"
93958,"Action, adventure, indie, racing"
93959,"Adventure, indie, rpg"
93960,"Action, indie"
93961,"Action, adventure, indie"
93962,"Action, indie, rpg"
93966,"Action, adventure, indie, racing, simulation, sports"
93967,"Action, adventure, casual, racing, rpg, sports, strategy"
93969,"Indie, racing"
93971,"Adventure, casual, indie"
93972,"Adventure, casual, indie"
93973,"Adventure, casual, indie"
93974,"Action, casual, indie"
93975,"Indie, simulation, strategy"
93976,"Free to play, indie, simulation, early access"
93977,Casual
93978,"Adventure, indie, simulation, strategy, early access"
93979,"Action, indie"
93981,"Indie, strategy"
93982,"Action, adventure, indie, rpg, strategy"
93983,"Action, adventure, indie, early access"
93984,Indie
93985,"Free to play, massively multiplayer, rpg"
93986,"Action, adventure, indie, rpg, simulation, strategy"
93988,"Action, casual, indie"
93990,"Adventure, indie, rpg"
93992,"Action, free to play, indie"
93995,"Action, adventure"
93996,Action
93997,"Adventure, indie, rpg"
93998,"Action, adventure"
93999,"Action, adventure, indie"
94006,"Adventure, indie, simulation, early access"
94009,"Action, racing"
94011,"Action, adventure, indie, rpg"
94013,"Action, adventure, indie"
94014,"Adventure, indie"
94015,Action
94017,Action
94018,"Action, adventure, indie"
94020,Action
94021,"Action, indie, racing"
94023,"Adventure, free to play, indie, rpg, early access"
94024,"Adventure, indie"
94026,"Casual, indie"
94027,"Adventure, indie"
94029,"Casual, rpg, simulation"
94031,"Indie, strategy"
94032,"Action, indie, sports, early access"
94033,"Adventure, indie"
94034,Indie
94035,"Action, casual, indie"
94049,"Simulation, strategy"
94051,"Strategy, early access"
94060,"Action, indie, rpg"
94063,Simulation
94065,Action
94066,Action
94067,Action
94068,"Action, adventure, indie"
94069,"Casual, indie"
94070,Simulation
94071,Simulation
94072,"Action, indie"
94073,"Adventure, casual, indie, rpg, strategy"
94074,"Action, adventure"
94075,"Casual, free to play, indie"
94076,"Adventure, casual"
94078,"Action, adventure, indie, rpg"
94079,"Action, indie"
94080,"Indie, simulation, strategy"
94081,"Animation &amp; modeling, design &amp; illustration, education, software training, utilities"
94082,"Action, adventure, indie, rpg"
94083,"Action, indie, rpg, simulation, early access"
94085,"Indie, simulation, strategy, early access"
94086,"Action, adventure, indie, massively multiplayer, simulation, early access"
94088,"Indie, simulation, strategy"
94095,Casual
94096,"Indie, simulation"
94097,"Indie, simulation"
94098,"Action, casual, indie, strategy"
94099,"Simulation, strategy"
94101,"Indie, early access"
94102,"Action, free to play, indie"
94103,"Action, adventure, indie, early access"
94104,"Casual, free to play, simulation"
94105,"Action, casual, indie, racing"
94106,"Action, adventure, rpg"
94107,"Free to play, indie, massively multiplayer, strategy"
94109,"Indie, simulation, strategy"
94110,Simulation
94111,"Action, adventure, indie, early access"
94112,Action
94115,"Action, adventure, indie, rpg"
94116,"Action, indie, early access"
94121,"Casual, free to play, indie"
94122,Action
94123,"Free to play, massively multiplayer, simulation, strategy"
94125,Adventure
94126,"Action, adventure, indie, racing, early access"
94129,"Action, casual, indie, rpg, simulation, strategy"
94131,"Action, adventure, indie"
94133,"Action, indie, racing"
94136,"Action, casual, indie"
94137,Casual
94138,"Action, indie"
94139,"Indie, strategy"
94141,Simulation
94142,Action
94144,"Indie, simulation"
94145,Action
94146,Action
94147,Action
94148,Simulation
94149,Action
94150,Casual
94151,Casual
94152,Casual
94153,"Casual, indie, strategy"
94154,"Action, adventure, indie"
94155,"Adventure, indie, simulation, early access"
94156,"Casual, indie"
94157,"Adventure, casual, indie"
94158,"Indie, rpg, strategy"
94159,"Action, indie"
94160,"Adventure, casual, indie"
94161,"Adventure, indie, rpg"
94162,"Casual, indie"
94163,"Adventure, indie, rpg"
94164,Simulation
94166,"Action, adventure, casual, indie, strategy"
94167,"Indie, simulation, strategy"
94170,"Simulation, strategy"
94218,"Action, indie, strategy"
94220,"Adventure, indie, rpg, simulation, early access"
94222,Casual
94223,"Adventure, casual, indie, rpg"
94224,"Adventure, casual, indie, rpg"
94225,"Indie, strategy"
94226,Strategy
94227,"Action, indie, massively multiplayer"
94228,"Action, strategy"
94229,"Action, adventure, indie"
94230,"Action, casual, indie"
94231,"Casual, free to play, simulation"
94232,"Casual, indie, strategy"
94236,"Casual, indie"
94239,"Action, indie"
94240,"Adventure, indie, rpg"
94241,"Casual, indie, strategy"
94242,"Action, indie"
94244,Strategy
94245,Strategy
94246,Strategy
94247,Strategy
94248,Strategy
94249,Strategy
94250,Strategy
94251,Strategy
94252,Strategy
94253,Strategy
94254,Strategy
94255,Strategy
94256,Strategy
94257,Strategy
94258,Strategy
94259,Strategy
94260,"Adventure, casual, indie"
94261,"Casual, free to play, indie, strategy"
94262,Strategy
94263,"Free to play, massively multiplayer, simulation"
94264,"Free to play, massively multiplayer, simulation"
94266,"Action, indie"
94268,"Action, adventure, indie"
94269,"Adventure, casual, indie"
94271,"Indie, simulation, strategy"
94273,Adventure
94279,Strategy
94280,"Rpg, strategy"
94281,Strategy
94282,Strategy
94283,Strategy
94284,Strategy
94285,"Casual, free to play, simulation"
94288,Free to play
94289,Strategy
94290,"Action, adventure, indie, rpg"
94291,"Adventure, indie"
94293,"Action, adventure, indie"
94294,Action
94295,Action
94296,Action
94297,"Action, indie"
94299,"Adventure, casual, indie, rpg"
94300,"Casual, indie, simulation, strategy"
94301,"Adventure, casual, indie, rpg"
94302,"Indie, simulation, sports, strategy, early access"
94303,"Action, indie, strategy"
94304,"Action, casual"
94307,"Action, adventure, casual"
94308,"Adventure, indie"
94310,"Action, casual, indie, simulation"
94311,"Indie, simulation, strategy"
94312,Adventure
94313,Sports
94314,"Action, adventure, casual, indie, strategy, early access"
94315,"Action, indie"
94316,Simulation
94318,"Casual, indie, strategy"
94321,"Action, massively multiplayer"
94323,"Indie, simulation, strategy"
94324,"Indie, strategy, early access"
94325,"Action, casual, simulation"
94326,"Indie, simulation, strategy"
94327,"Indie, simulation, strategy"
94328,Simulation
94329,"Sports, strategy, early access"
94331,"Action, casual, indie, early access"
94332,"Indie, simulation, strategy"
94333,Simulation
94335,"Action, adventure, indie"
94336,"Action, adventure, indie, rpg"
94338,"Action, casual, indie"
94339,"Adventure, indie"
94340,"Action, adventure, indie"
94342,"Action, casual"
94344,"Casual, indie"
94345,"Action, casual, indie"
94346,"Casual, indie, strategy"
94347,"Animation &amp; modeling, audio production, software training, utilities, video production"
94348,"Indie, simulation, strategy"
94349,"Free to play, indie, rpg, strategy"
94350,"Free to play, indie, rpg, strategy"
94351,"Indie, simulation, strategy"
94352,Adventure
94353,"Adventure, casual, indie, rpg, strategy"
94355,"Adventure, casual, indie"
94356,"Casual, rpg"
94358,"Adventure, indie, rpg, simulation"
94359,"Casual, rpg"
94360,Casual
94361,"Action, casual, indie"
94362,"Action, indie, rpg, early access"
94363,"Adventure, free to play, massively multiplayer, rpg"
94364,"Indie, early access"
94367,"Action, casual, indie, sports, early access"
94368,"Action, indie"
94369,"Action, indie"
94370,"Action, casual, free to play, indie, sports, early access"
94371,"Free to play, indie, rpg, strategy"
94372,"Adventure, casual, indie"
94374,"Adventure, indie"
94376,"Action, indie"
94377,"Adventure, indie"
94378,"Casual, indie"
94385,"Indie, simulation, sports, strategy"
94386,"Action, adventure"
94387,"Action, indie"
94388,Action
94389,Action
94390,"Indie, simulation, strategy"
94394,"Indie, simulation, early access"
94403,"Action, indie"
94404,"Action, adventure, indie, strategy"
94405,"Casual, indie"
94409,"Action, casual, indie"
94410,"Action, free to play, indie, massively multiplayer"
94411,"Casual, free to play, rpg"
94414,"Simulation, strategy"
94415,"Action, adventure"
94416,"Adventure, indie, strategy"
94417,"Action, casual, indie"
94421,"Action, adventure, indie"
94422,"Action, indie"
94424,"Adventure, indie"
94426,"Action, casual, indie"
94427,Adventure
94428,"Action, indie, racing, early access"
94429,"Adventure, indie, rpg"
94430,"Indie, rpg"
94431,"Action, indie, strategy"
94433,"Adventure, casual, indie"
94434,"Casual, indie, racing"
94435,Simulation
94436,"Action, casual, indie, racing, simulation, sports"
94437,"Action, adventure, casual, indie, strategy"
94438,"Adventure, indie"
94439,"Action, indie"
94440,"Adventure, free to play, massively multiplayer, rpg, strategy"
94441,Rpg
94442,"Casual, simulation, strategy"
94443,"Action, indie"
94444,"Adventure, casual"
94446,"Action, indie"
94447,"Action, adventure, casual, indie"
94448,Strategy
94449,"Action, adventure, casual, indie"
94451,"Action, adventure, indie, rpg"
94457,"Action, adventure, indie, massively multiplayer, simulation"
94465,"Action, adventure, rpg"
94477,"Free to play, indie, massively multiplayer, strategy"
94478,Adventure
94480,"Free to play, indie, massively multiplayer, strategy"
94482,"Action, adventure, indie, rpg"
94483,"Casual, indie, strategy"
94484,"Action, adventure, casual, indie"
94485,"Action, casual, indie"
94487,"Free to play, massively multiplayer, rpg, strategy"
94488,"Action, indie, racing, simulation, sports"
94489,"Animation &amp; modeling, design &amp; illustration, education, software training, utilities"
94491,"Casual, indie"
94492,"Action, adventure, indie, massively multiplayer, rpg"
94493,"Action, adventure"
94494,"Action, indie, rpg"
94495,"Indie, rpg, strategy"
94496,"Action, adventure"
94497,"Action, adventure"
94498,"Casual, free to play, indie, simulation"
94499,"Action, casual, indie, strategy"
94501,"Casual, indie, early access"
94502,Action
94503,"Casual, indie, simulation, strategy"
94504,"Indie, strategy"
94505,"Adventure, strategy"
94509,"Action, indie"
94511,"Action, indie, strategy"
94513,"Action, indie, strategy"
94514,"Casual, free to play, strategy"
94515,"Action, adventure, massively multiplayer, rpg, simulation, strategy"
94517,"Indie, strategy"
94519,"Action, adventure, indie"
94520,"Action, adventure, indie, racing, sports, strategy"
94521,"Action, adventure, indie"
94522,"Adventure, indie"
94523,Simulation
94524,"Adventure, casual, indie, rpg"
94525,"Design &amp; illustration, photo editing"
94526,"Action, adventure, casual, indie, rpg"
94527,"Adventure, indie, rpg"
94528,"Action, indie"
94530,"Action, indie"
94531,"Action, casual, indie"
94532,"Action, indie, strategy"
94533,"Casual, indie"
94534,"Casual, indie, simulation"
94537,"Action, adventure"
94538,"Adventure, casual"
94539,"Adventure, indie, strategy"
94540,"Free to play, massively multiplayer, strategy"
94541,"Indie, simulation"
94546,"Action, adventure, casual, indie, rpg"
94547,Strategy
94548,Strategy
94549,"Action, adventure, casual, indie, racing, simulation"
94550,"Action, indie, early access"
94551,"Action, adventure"
94552,"Simulation, strategy"
94554,"Adventure, casual, indie"
94555,"Casual, indie"
94556,"Action, adventure, indie, rpg"
94557,"Action, indie"
94559,"Adventure, indie, strategy"
94560,"Indie, rpg, strategy"
94561,"Adventure, indie"
94562,"Action, adventure"
94563,"Indie, strategy"
94564,"Adventure, casual, indie"
94565,"Casual, indie"
94566,Simulation
94568,"Action, adventure, indie, rpg, early access"
94569,"Action, adventure, indie, rpg"
94570,"Action, adventure, free to play, indie, massively multiplayer, rpg, strategy"
94571,"Action, adventure, free to play, indie, massively multiplayer, rpg, strategy"
94573,"Casual, indie, strategy"
94574,"Indie, rpg, simulation, strategy"
94575,"Casual, indie"
94576,"Adventure, indie"
94578,"Action, racing"
94581,"Indie, rpg, strategy"
94582,"Free to play, indie"
94585,"Action, adventure, casual, indie, simulation, strategy, early access"
94586,"Indie, simulation"
94587,"Adventure, free to play, indie"
94591,Indie
94593,"Indie, simulation, strategy"
94594,Simulation
94595,"Adventure, indie, simulation"
94597,"Action, indie"
94598,"Adventure, casual, indie"
94599,Simulation
94600,Action
94601,"Indie, simulation, strategy"
94603,"Indie, strategy"
94604,"Indie, strategy"
94605,"Indie, strategy"
94606,"Casual, free to play, indie, strategy"
94607,"Action, adventure"
94608,Action
94609,Action
94610,Action
94611,Action
94612,Action
94613,Action
94614,"Action, adventure, rpg"
94615,"Adventure, casual, indie, rpg, simulation, strategy"
94616,"Indie, rpg, strategy"
94617,"Action, adventure, indie, rpg, early access"
94619,"Adventure, casual, indie"
94620,"Adventure, casual, indie"
94624,"Adventure, casual"
94625,"Action, adventure"
94626,"Indie, simulation, strategy"
94628,"Casual, indie"
94630,"Action, adventure, casual, indie"
94631,"Casual, indie"
94635,"Casual, indie"
94638,"Action, adventure, indie"
94645,"Action, casual, indie"
94647,"Action, adventure, casual, indie"
94648,"Action, indie"
94649,Simulation
94650,Simulation
94651,"Free to play, massively multiplayer, rpg"
94654,"Action, adventure"
94656,"Action, indie"
94657,"Casual, indie"
94664,Adventure
94665,"Simulation, strategy"
94666,"Action, casual, indie, simulation"
94667,Simulation
94669,"Action, adventure, casual, indie"
94671,Action
94672,"Action, indie"
94673,"Action, adventure, indie"
94675,"Casual, indie, strategy"
94679,"Action, adventure"
94684,"Action, adventure"
94685,Racing
94686,"Adventure, casual"
94687,"Action, indie"
94688,"Action, casual, indie"
94689,"Casual, indie"
94690,"Adventure, indie, rpg"
94695,"Action, indie"
94696,"Action, casual"
94697,"Indie, strategy"
94698,"Indie, simulation"
94699,"Action, adventure, casual, indie, racing, simulation"
94700,"Action, casual, indie"
94702,"Casual, indie, simulation, strategy"
94704,"Indie, strategy"
94705,"Casual, strategy"
94706,"Action, adventure, indie"
94707,"Adventure, casual, indie, rpg, simulation, strategy, early access"
94708,"Action, free to play, indie"
94710,Simulation
94711,Simulation
94712,"Casual, free to play, simulation, sports"
94714,Action
94715,Action
94716,Action
94717,Action
94718,"Casual, free to play, simulation, sports"
94719,"Casual, free to play, simulation, sports"
94720,"Casual, free to play, simulation, sports"
94721,"Casual, free to play, simulation, sports"
94722,"Casual, free to play, simulation, sports"
94723,"Casual, free to play, simulation, sports"
94724,"Casual, free to play, simulation, sports"
94725,"Casual, free to play, simulation, sports"
94726,"Casual, free to play, simulation, sports"
94727,"Casual, simulation, sports"
94728,"Casual, free to play, simulation, sports"
94729,"Casual, free to play, simulation, sports"
94730,"Casual, free to play, simulation, sports"
94731,"Casual, free to play, simulation, sports"
94732,"Casual, free to play, simulation, sports"
94733,"Casual, free to play, simulation, sports"
94736,"Casual, free to play, simulation, sports"
94737,"Action, adventure, indie, rpg"
94739,Simulation
94740,"Adventure, casual, free to play"
94741,Casual
94742,"Casual, indie, strategy"
94743,"Adventure, indie"
94744,"Indie, strategy"
94745,"Adventure, casual, indie"
94746,"Adventure, indie, rpg"
94747,"Action, adventure, indie"
94748,"Adventure, indie"
94751,"Adventure, indie, rpg"
94752,"Indie, simulation, strategy"
94754,"Action, indie, racing, early access"
94757,"Adventure, casual, indie"
94758,"Adventure, casual"
94759,"Simulation, sports"
94760,"Action, adventure, casual, indie, simulation"
94762,Action
94763,Adventure
94764,Simulation
94765,"Action, free to play, indie, massively multiplayer, simulation"
94766,"Casual, indie"
94767,"Action, free to play, indie, massively multiplayer, simulation"
94769,"Design &amp; illustration, web publishing"
94770,"Design &amp; illustration, web publishing"
94771,Casual
94772,"Adventure, indie, rpg"
94773,Casual
94774,"Adventure, free to play"
94776,Simulation
94777,Simulation
94778,"Casual, free to play, massively multiplayer, strategy"
94780,Indie
94783,"Action, adventure, casual, indie"
94785,"Adventure, indie, rpg"
94786,"Massively multiplayer, rpg"
94787,"Massively multiplayer, rpg"
94788,"Action, indie, rpg"
94789,"Indie, rpg"
94793,"Casual, indie"
94796,"Action, adventure, indie, rpg"
94798,"Action, adventure"
94801,"Action, adventure"
94803,"Action, casual, indie, rpg"
94807,"Adventure, casual, indie"
94808,Rpg
94810,Strategy
94812,Adventure
94814,Strategy
94815,"Indie, simulation, strategy"
94818,"Action, casual, free to play, indie"
94820,"Adventure, casual, rpg, strategy"
94821,"Racing, simulation, sports"
94823,"Action, indie"
94827,"Adventure, casual"
94829,"Action, adventure, casual, indie, strategy"
94834,"Adventure, indie, simulation"
94839,"Simulation, sports"
94840,"Adventure, indie"
94842,Simulation
94843,Action
94844,Simulation
94857,"Action, adventure, indie"
94858,"Adventure, casual"
94862,"Action, adventure, indie"
94863,"Action, indie"
94865,"Adventure, indie"
94866,"Action, indie, sports"
94867,"Action, adventure, free to play, indie, massively multiplayer, rpg"
94868,"Adventure, indie"
94869,"Casual, indie"
94870,"Action, casual, indie"
94872,"Action, adventure, casual, indie"
94873,"Action, casual, free to play, indie, strategy"
94874,Action
94875,"Casual, indie, sports"
94876,"Action, adventure, indie"
94877,"Action, casual, indie"
94881,"Action, indie"
94883,"Casual, indie, strategy"
94884,"Casual, indie"
94886,Adventure
94887,"Adventure, indie"
94889,"Action, adventure, casual, indie"
94892,"Action, indie"
94893,"Action, indie"
94897,"Action, indie"
94898,Strategy
94899,"Adventure, indie, rpg"
94900,Adventure
94903,"Action, adventure, indie, rpg, simulation, strategy"
94904,"Action, indie, sports"
94905,"Adventure, casual, indie"
94906,"Adventure, casual, indie"
94909,Strategy
94910,"Action, indie"
94911,"Action, free to play, massively multiplayer, rpg"
94912,"Action, free to play, massively multiplayer, rpg"
94913,"Action, free to play, massively multiplayer, rpg"
94914,"Action, free to play, massively multiplayer, rpg"
94915,"Action, indie, early access"
94916,Action
94917,Adventure
94919,"Casual, indie"
94920,"Action, casual, indie, early access"
94921,"Casual, indie, simulation, sports, strategy"
94922,Action
94923,"Action, adventure, casual, indie, strategy"
94924,"Adventure, indie"
94925,Indie
94926,"Action, adventure, indie, rpg"
94927,"Adventure, indie"
94929,"Action, free to play, early access"
94931,"Adventure, casual, simulation"
94932,Indie
94933,"Indie, strategy"
94935,"Action, casual, indie, racing"
94936,"Action, casual, free to play, indie, rpg, sports, early access"
94937,Simulation
94938,Simulation
94939,"Simulation, strategy"
94940,Indie
94941,"Action, casual, indie, strategy"
94948,"Action, indie"
94949,"Action, casual, indie, strategy"
94951,"Adventure, casual"
94953,"Action, indie, sports"
94957,"Action, free to play, massively multiplayer"
94959,"Adventure, casual, indie"
94960,"Action, indie, early access"
94962,"Action, adventure"
94963,"Action, adventure"
94965,"Action, indie, racing, simulation, sports, strategy"
94966,"Action, adventure, indie"
94967,"Indie, simulation"
94969,"Indie, simulation"
94970,Indie
94971,Rpg
94972,Action
94973,"Adventure, indie"
94974,Indie
94976,"Indie, simulation, strategy, early access"
94977,"Action, indie, racing, sports"
94978,"Action, indie, racing, sports"
94979,"Action, indie, racing, sports"
94980,"Action, indie, racing, sports"
94981,"Indie, racing, simulation"
94983,"Animation &amp; modeling, design &amp; illustration, education, software training, utilities"
94985,"Adventure, casual"
94987,"Action, adventure, indie, rpg, early access"
94988,"Design &amp; illustration, utilities"
94989,Action
94990,Action
94991,Action
94992,Simulation
94994,Action
94995,"Action, adventure, casual, indie, rpg"
94997,Simulation
94998,Rpg
95002,Rpg
95007,"Action, adventure, indie, early access"
95008,"Indie, strategy"
95009,Casual
95010,"Indie, simulation"
95011,"Adventure, indie"
95012,"Action, massively multiplayer, simulation"
95015,"Adventure, indie"
95016,Indie
95017,"Adventure, casual"
95018,"Adventure, casual, indie"
95020,Sports
95021,"Design &amp; illustration, utilities"
95022,"Action, adventure, free to play, indie, early access"
95032,"Casual, indie, strategy"
95033,"Action, casual, free to play, indie, rpg, sports"
95035,"Adventure, indie, strategy"
95036,"Action, indie"
95037,"Casual, indie, strategy"
95038,"Adventure, indie"
95039,"Casual, indie, strategy"
95040,"Simulation, strategy"
95041,"Adventure, indie"
95042,"Indie, strategy"
95044,"Action, adventure, indie"
95045,"Casual, simulation"
95046,"Action, adventure, indie, simulation, strategy"
95049,"Action, adventure, indie"
95051,"Adventure, indie, rpg, strategy"
95052,"Adventure, indie, rpg, strategy"
95054,"Action, adventure, indie"
95055,"Action, adventure, casual, indie, sports, early access"
95057,"Adventure, casual"
95058,Casual
95059,"Free to play, indie, strategy"
95060,Rpg
95063,"Action, indie, rpg"
95064,"Action, adventure, casual, indie, strategy"
95065,"Action, adventure, indie, racing, simulation, sports"
95066,"Action, adventure, indie"
95068,"Action, adventure, casual, indie"
95069,"Action, adventure, casual, indie"
95071,Simulation
95073,Adventure
95074,"Action, casual, indie"
95075,"Action, indie"
95077,"Action, adventure, casual, indie, rpg"
95079,"Adventure, indie"
95080,"Action, adventure, casual, indie"
95082,"Action, adventure, casual, indie"
95085,"Casual, indie, simulation, strategy"
95088,"Adventure, casual"
95089,Rpg
95090,"Action, indie"
95091,"Casual, indie"
95092,"Casual, indie, simulation, strategy"
95093,Action
95094,Action
95095,"Action, indie"
95098,"Action, adventure, rpg"
95101,"Action, adventure"
95103,"Action, adventure"
95104,"Action, adventure"
95106,"Action, adventure, casual, indie"
95108,"Action, adventure, casual, indie, strategy"
95112,Indie
95113,Casual
95114,"Adventure, casual"
95115,"Action, indie"
95117,"Action, indie"
95119,"Indie, strategy"
95121,"Design &amp; illustration, utilities"
95122,"Action, indie"
95123,"Action, indie"
95124,"Adventure, massively multiplayer, rpg"
95126,"Action, adventure, indie, rpg, simulation, strategy, early access"
95128,"Casual, indie"
95130,"Action, adventure, casual, indie"
95131,"Action, indie"
95133,"Action, adventure, casual, indie, strategy"
95135,Action
95136,Indie
95137,"Adventure, indie"
95138,"Action, adventure, casual, indie, racing"
95139,"Action, casual, indie"
95140,Indie
95141,"Action, adventure, indie"
95142,"Casual, indie, strategy"
95143,"Adventure, strategy"
95145,"Casual, indie, simulation"
95146,"Action, adventure"
95147,"Action, indie"
95148,"Action, adventure"
95150,"Action, casual, indie, strategy"
95151,"Action, indie"
95153,"Action, indie, early access"
95154,"Action, adventure, casual, racing, simulation, sports"
95155,"Adventure, casual"
95157,"Action, casual, indie, simulation, sports"
95159,"Casual, indie, simulation"
95160,"Indie, rpg, strategy"
95161,"Rpg, strategy"
95163,"Adventure, indie"
95165,"Action, casual, indie, sports, early access"
95166,"Casual, strategy"
95167,"Action, indie"
95168,"Action, adventure, indie"
95176,"Adventure, indie, rpg"
95177,"Casual, indie, racing, simulation"
95185,Simulation
95186,"Racing, simulation"
95188,"Action, adventure, casual, indie, rpg, simulation"
95189,"Casual, indie, strategy"
95190,"Action, racing, sports"
95191,"Rpg, simulation, strategy"
95193,"Action, adventure, indie, racing"
95194,"Action, indie, simulation"
95195,"Adventure, casual, indie"
95196,"Action, casual, indie"
95197,Indie
95199,"Action, adventure, indie"
95200,"Racing, simulation"
95201,"Action, indie, rpg"
95205,"Adventure, casual, indie, strategy"
95210,"Action, adventure, indie, rpg, simulation, strategy"
95212,Action
95213,Adventure
95215,"Adventure, indie"
95217,"Adventure, indie"
95219,"Adventure, indie, rpg"
95220,"Action, adventure, indie, rpg"
95221,"Action, adventure, indie"
95223,"Indie, simulation, strategy"
95224,"Action, casual, indie"
95225,"Casual, indie, strategy"
95226,"Casual, indie, strategy"
95227,Simulation
95228,Simulation
95229,Simulation
95232,"Action, adventure, indie"
95236,"Action, adventure, casual, strategy"
95237,"Casual, indie, simulation"
95238,"Action, simulation, strategy"
95239,"Casual, simulation"
95241,Indie
95242,"Casual, indie"
95243,"Adventure, rpg"
95245,"Indie, racing, sports"
95247,"Indie, simulation, strategy"
95251,"Adventure, casual, indie"
95256,"Adventure, indie, rpg, simulation"
95258,"Casual, indie, rpg"
95259,"Action, casual, indie, simulation, strategy"
95260,"Action, adventure, casual, indie"
95261,"Action, adventure, indie, strategy"
95265,"Design &amp; illustration, web publishing"
95266,Strategy
95267,"Action, casual, free to play"
95268,"Action, casual, free to play"
95269,"Action, adventure, indie"
95271,Indie
95272,"Action, indie"
95274,"Casual, indie"
95279,"Adventure, indie"
95281,Casual
95282,"Casual, indie"
95283,"Casual, free to play, massively multiplayer, rpg, simulation, strategy"
95285,"Indie, strategy"
95286,"Adventure, casual, indie"
95289,"Adventure, casual, indie"
95290,"Action, casual, indie, racing, sports"
95291,Adventure
95292,"Action, adventure, indie"
95295,"Action, indie, strategy"
95296,"Action, indie, early access"
95301,"Casual, indie"
95302,"Action, casual, indie"
95306,"Casual, indie, strategy"
95308,"Indie, rpg, simulation"
95309,"Action, adventure, indie"
95311,"Action, adventure, indie, rpg, strategy"
95312,"Adventure, indie, rpg"
95316,"Adventure, casual, indie, rpg"
95317,"Action, indie"
95318,"Action, adventure, indie"
95320,"Indie, rpg"
95321,"Action, indie"
95322,"Action, rpg, strategy"
95324,"Adventure, indie"
95325,"Racing, simulation, sports"
95326,"Casual, indie, strategy"
95327,"Action, casual, indie"
95329,"Action, adventure, indie, early access"
95331,"Casual, strategy"
95332,Casual
95333,"Adventure, casual, indie"
95334,"Action, adventure, indie, rpg, simulation, sports"
95335,"Adventure, indie"
95336,"Adventure, indie, rpg"
95337,"Action, rpg"
95339,"Action, strategy"
95340,"Action, rpg"
95341,"Casual, free to play, indie, simulation, strategy, early access"
95342,"Action, rpg"
95343,"Action, rpg"
95344,"Adventure, casual, indie"
95345,"Casual, indie, strategy"
95347,"Casual, indie, simulation"
95351,"Indie, simulation, strategy"
95352,Indie
95353,"Free to play, massively multiplayer, rpg, strategy"
95354,"Casual, indie"
95357,"Action, adventure, indie, rpg"
95359,"Casual, indie, racing, simulation"
95361,"Racing, simulation, sports"
95363,"Rpg, strategy"
95367,"Adventure, indie, rpg"
95368,"Action, indie"
95370,"Free to play, massively multiplayer, simulation, sports"
95371,"Racing, simulation, sports"
95373,"Rpg, simulation, strategy"
95375,"Adventure, casual, indie"
95376,"Indie, strategy"
95380,"Adventure, casual, indie"
95381,"Action, adventure, casual, indie, rpg"
95382,"Design &amp; illustration, web publishing"
95383,"Action, casual, indie, massively multiplayer, simulation, strategy, early access"
95384,Action
95387,"Action, casual, indie"
95388,"Action, early access"
95389,"Action, indie, early access"
95390,"Action, adventure, indie, racing"
95391,"Casual, simulation, strategy"
95392,"Adventure, casual, indie"
95393,"Action, simulation"
95394,"Indie, strategy"
95396,Simulation
95398,"Action, casual, indie, racing, sports"
95399,"Adventure, indie, rpg"
95400,"Action, indie"
95401,Simulation
95403,"Action, indie"
95404,"Action, adventure, indie"
95405,"Action, adventure, casual, indie"
95406,"Action, indie, simulation, strategy"
95407,"Adventure, indie"
95411,"Action, indie, simulation"
95414,"Casual, indie, strategy"
95415,"Action, simulation"
95417,Adventure
95418,"Simulation, strategy"
95419,Adventure
95420,Adventure
95421,Adventure
95422,Adventure
95423,Adventure
95424,Adventure
95425,"Simulation, strategy"
95426,"Adventure, casual"
95427,"Casual, indie"
95428,"Action, free to play, massively multiplayer, rpg"
95429,Indie
95430,"Adventure, indie"
95431,"Adventure, indie"
95432,Adventure
95433,Adventure
95434,"Action, indie"
95435,"Action, adventure, indie"
95436,"Action, adventure, indie, rpg"
95437,Indie
95438,"Action, adventure, indie"
95439,Casual
95446,"Action, indie"
95447,"Action, adventure, indie, rpg"
95448,"Action, adventure, indie, rpg"
95451,"Casual, indie, strategy"
95452,"Casual, indie, strategy"
95453,Simulation
95454,Racing
95455,"Action, casual, indie, sports, early access"
95456,Action
